condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
135,0.27056165599818915,0.14784431201574041,8,256,0.7,20,20,2,64,roots,True,True,True,tanh,True,0.03,1.2,uniform
136,0.6154646656297006,0.024666865668416138,8,256,0.5,10,10,5,64,roots,False,False,True,relu,True,0.03,1.2,normal
137,0.20598302518665246,0.09788834681361552,8,256,0.7,10,10,2,16,head,True,True,True,gelu,True,0.005,1.2,normal
138,0.4501857755459264,0.06843919063564831,8,512,0.7,20,20,5,64,causal,False,True,False,relu,True,0.005,1.2,normal
139,0.23543277966000994,0.11774722895617805,8,512,0.7,10,20,2,16,causal,True,True,True,relu,True,0.03,1.2,uniform
140,0.5004960295108808,0.08384104543963601,8,512,0.5,20,20,2,64,causal,True,True,True,gelu,False,0.005,1.2,normal
141,0.5604075373327579,0.06261770844480458,8,512,0.5,10,10,5,16,roots,True,True,False,gelu,False,0.005,0.5,normal
142,0.3592943385354077,0.1481120464178546,8,256,0.7,20,20,2,16,roots,False,True,False,tanh,False,0.005,0.5,normal
143,0.5403327898639889,0.06857252064807491,8,256,0.5,20,20,5,64,head,True,True,True,tanh,False,0.03,1.2,normal
144,0.10446898023702979,0.06057389383721369,8,512,0.7,10,10,5,16,head,False,True,True,relu,True,0.005,0.5,normal
145,0.18376500946205676,0.040972007612218045,8,256,0.7,10,20,5,16,causal,False,False,False,relu,False,0.03,1.2,uniform
146,0.7913706284149931,0.04322747688829606,8,256,0.5,10,20,2,64,causal,True,True,False,relu,False,0.03,0.5,normal
147,0.3471058244269892,0.05539946996273299,8,256,0.7,20,20,5,16,causal,True,False,False,tanh,False,0.03,1.2,normal
148,0.27451581194451424,0.04123618705552371,8,512,0.7,10,10,2,16,roots,False,False,False,gelu,False,0.03,1.2,normal
149,0.06772832207837881,0.06397320428316605,8,512,0.5,20,20,2,16,head,True,True,True,gelu,False,0.005,0.5,uniform
150,0.08362410390356159,0.05023777006854059,8,256,0.7,10,20,5,16,causal,True,True,False,tanh,True,0.03,1.2,uniform
151,0.4549242551506678,0.023719388044013495,8,256,0.7,10,10,2,64,head,True,False,True,tanh,True,0.03,0.5,normal
152,0.35688576836642916,0.0929951752809979,8,256,0.5,20,10,5,16,causal,False,False,True,relu,True,0.005,1.2,normal
153,0.15191452163784475,0.12352419810703327,8,256,0.7,20,20,2,16,causal,False,False,True,gelu,True,0.005,0.5,uniform
154,0.5835923046330119,0.03411998898272131,8,256,0.7,10,10,5,16,roots,True,True,False,relu,False,0.03,0.5,normal
155,0.11828955393490888,0.07948235704863328,8,256,0.5,10,20,5,16,head,True,True,True,relu,False,0.03,1.2,normal
156,0.21562752591852202,0.13259988244072993,8,512,0.7,20,20,2,16,roots,False,True,False,relu,False,0.005,1.2,uniform
157,0.4539035938365704,0.08713370422398813,8,512,0.7,20,20,2,64,head,False,False,True,relu,True,0.03,0.5,normal
158,0.5948078929622087,0.04119409467367323,8,256,0.7,10,10,2,64,head,False,True,True,gelu,True,0.03,1.2,normal
159,0.3483259571526746,0.06958844444416375,8,512,0.7,10,10,2,16,causal,True,True,True,relu,False,0.03,0.5,normal
160,0.2474451757398127,0.08894197160794781,8,256,0.7,10,10,2,16,causal,True,False,True,gelu,True,0.005,1.2,uniform
161,0.08898554747497814,0.06227104206530829,8,256,0.7,20,20,5,16,causal,True,True,True,tanh,True,0.03,0.5,uniform
162,0.10696172740116347,0.09291735465703223,8,256,0.7,20,10,2,16,causal,True,False,False,gelu,False,0.005,1.2,uniform
163,0.37740028955291627,0.1091401868367331,8,256,0.7,20,10,5,64,head,True,False,False,gelu,False,0.005,0.5,normal
164,0.548922614587848,0.12814736624618456,8,256,0.5,20,20,2,64,head,False,False,False,gelu,False,0.03,1.2,normal
165,0.40847317938039,0.09194461535458502,8,256,0.7,10,10,2,64,causal,False,True,False,gelu,False,0.03,1.2,uniform
166,0.3494871605974593,0.05422795641984375,8,512,0.7,10,10,2,16,causal,False,True,True,tanh,False,0.03,1.2,normal
167,0.4988345343902146,0.0785172758496107,8,512,0.5,20,20,5,64,head,True,True,True,tanh,True,0.005,0.5,normal
168,0.18341905647235518,0.12442547507097212,8,256,0.5,20,10,5,16,causal,False,True,True,tanh,True,0.005,0.5,uniform
169,0.332179003488148,0.09942715681713586,8,512,0.5,20,10,2,64,head,True,False,False,relu,False,0.005,1.2,normal
170,0.03892774112010188,0.03305904293785603,8,256,0.7,20,10,5,16,head,True,True,False,tanh,True,0.005,0.5,uniform
171,0.16702144990184328,0.13814620310264802,8,256,0.7,20,20,2,16,causal,False,True,True,gelu,True,0.03,1.2,uniform
172,0.6230613719881193,0.10002077964306842,8,256,0.7,10,20,5,64,causal,False,False,True,relu,True,0.03,0.5,uniform
173,0.1605048113658086,0.06360045321485688,8,256,0.7,10,10,5,16,causal,True,False,False,relu,True,0.005,0.5,uniform
174,0.2929952052121978,0.10290159971308455,8,256,0.7,20,10,2,64,head,False,True,True,gelu,False,0.03,0.5,normal
175,0.11292813151694474,0.049927995383006664,8,256,0.5,10,10,5,16,head,True,False,False,tanh,True,0.03,0.5,uniform
176,0.37288426361463956,0.05001083282051383,8,256,0.5,20,10,5,64,causal,False,True,True,relu,False,0.03,0.5,normal
177,0.41824477995148573,0.03136877152264667,8,256,0.7,10,10,5,16,roots,False,True,False,gelu,False,0.03,1.2,uniform
178,0.16143225689202417,0.1268990195201486,8,512,0.7,20,10,2,16,causal,False,False,True,gelu,True,0.03,0.5,normal
179,0.18300675525988652,0.03455214437511033,8,512,0.5,20,10,5,16,causal,True,False,True,tanh,False,0.03,1.2,uniform
180,0.7241604714039646,0.0696531265184935,8,256,0.5,20,20,5,64,roots,True,True,False,tanh,True,0.03,1.2,uniform
181,0.38750809618534177,0.08101435139468476,8,256,0.5,20,10,2,64,causal,False,False,True,gelu,False,0.005,1.2,normal
182,0.7610229864546163,0.026987945557683357,8,512,0.7,20,20,5,16,roots,False,True,False,relu,True,0.03,0.5,normal
183,0.12370158856631552,0.07465994064493572,8,256,0.7,10,10,2,16,head,False,True,False,relu,False,0.03,0.5,normal
184,0.645899961436297,0.12006651144817931,8,256,0.5,20,20,2,64,head,False,True,False,tanh,False,0.03,1.2,normal
185,0.300899851949308,0.23872683204412326,8,512,0.5,20,20,2,16,causal,True,True,False,tanh,False,0.03,1.2,normal
186,0.04413376859154089,0.041156851195594014,8,512,0.7,20,20,5,16,head,False,True,True,tanh,True,0.03,0.5,normal
187,0.4931480522071726,0.11081328180255547,8,256,0.5,20,20,2,64,roots,True,True,False,gelu,True,0.005,0.5,normal
188,0.5586117643608834,0.07810823583874972,8,512,0.5,10,20,2,64,head,True,False,False,tanh,True,0.03,0.5,uniform
189,0.48861689584087786,0.046404256200093474,8,256,0.7,10,10,5,64,head,False,False,False,gelu,True,0.03,0.5,normal
190,0.5566015676183353,0.05554341074688072,8,256,0.5,10,10,5,64,causal,False,False,False,relu,True,0.03,0.5,uniform
191,0.12337189319658015,0.08035743053901037,8,256,0.7,10,10,2,16,head,True,False,False,gelu,True,0.005,1.2,uniform
