seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
512,0.5,20,10,2,16,causal,True,False,True,tanh,True,0.03,1.2,uniform,0.11023795313245602
512,0.5,20,10,2,64,causal,True,False,True,gelu,False,0.005,0.5,uniform,0.13408667342235311
512,0.5,20,10,2,64,head,True,False,False,relu,False,0.005,1.2,normal,0.332179003488148
512,0.5,20,10,5,16,causal,True,False,False,tanh,True,0.005,0.5,uniform,0.09838295992417662
512,0.5,20,10,5,16,causal,True,False,True,tanh,False,0.03,1.2,uniform,0.18300675525988652
512,0.5,20,10,5,64,causal,False,True,True,gelu,False,0.03,1.2,normal,0.4522076368025542
512,0.5,20,10,5,64,head,True,False,False,gelu,False,0.03,0.5,normal,0.3336053452640469
512,0.5,20,20,2,16,causal,False,False,True,tanh,False,0.005,0.5,normal,0.25922962320826276
512,0.5,20,20,2,16,causal,True,True,False,tanh,False,0.03,1.2,normal,0.300899851949308
512,0.5,20,20,2,16,head,False,False,True,relu,True,0.005,0.5,uniform,0.06891231440022899
512,0.5,20,20,2,16,head,True,True,True,gelu,False,0.005,0.5,uniform,0.06772832207837881
512,0.5,20,20,2,16,roots,True,False,True,tanh,True,0.005,1.2,normal,0.46451140939551616
512,0.5,20,20,2,64,causal,True,True,True,gelu,False,0.005,1.2,normal,0.5004960295108808
512,0.5,20,20,2,64,head,True,False,False,tanh,False,0.005,1.2,uniform,0.34596367133046035
512,0.5,20,20,2,64,head,True,False,True,gelu,False,0.005,0.5,uniform,0.2618397418502305
512,0.5,20,20,2,64,roots,False,True,True,tanh,False,0.03,0.5,uniform,0.22152757920462374
512,0.5,20,20,2,64,roots,True,True,False,gelu,False,0.03,0.5,uniform,0.2379175905894227
512,0.5,20,20,5,16,causal,True,False,False,tanh,True,0.03,1.2,uniform,0.08918820109779911
512,0.5,20,20,5,16,head,True,False,False,relu,False,0.005,0.5,normal,0.09143891122314919
512,0.5,20,20,5,16,head,True,True,False,gelu,True,0.005,1.2,normal,0.046499736765422295
512,0.5,20,20,5,64,causal,False,False,False,gelu,False,0.005,0.5,uniform,0.4959127136352762
512,0.5,20,20,5,64,causal,True,True,True,relu,True,0.005,1.2,uniform,0.3044065087987591
512,0.5,20,20,5,64,head,False,True,True,gelu,False,0.005,1.2,uniform,0.2464277592572131
512,0.5,20,20,5,64,head,True,False,False,relu,False,0.005,1.2,uniform,0.09718138498254468
512,0.5,20,20,5,64,head,True,True,True,tanh,True,0.005,0.5,normal,0.4988345343902146
512,0.5,20,20,5,64,roots,True,False,True,tanh,False,0.03,1.2,normal,0.8775136051696139
512,0.7,10,10,2,16,causal,False,True,True,tanh,False,0.03,1.2,normal,0.3494871605974593
512,0.7,10,10,2,16,causal,True,True,True,relu,False,0.03,0.5,normal,0.3483259571526746
512,0.7,10,10,2,16,roots,False,False,False,gelu,False,0.03,1.2,normal,0.27451581194451424
512,0.7,10,10,2,16,roots,False,False,True,tanh,False,0.005,1.2,uniform,0.20742200278800374
512,0.7,10,10,2,16,roots,True,False,False,relu,True,0.005,0.5,uniform,0.12469166208307064
512,0.7,10,10,2,64,head,False,False,True,gelu,False,0.03,1.2,normal,0.4886961073525438
512,0.7,10,10,2,64,head,False,False,True,gelu,True,0.03,1.2,normal,0.45360125003574614
512,0.7,10,10,2,64,roots,False,False,False,gelu,True,0.005,0.5,uniform,0.14685747479332834
512,0.7,10,10,2,64,roots,False,False,True,relu,True,0.005,0.5,uniform,0.14418817497879868
512,0.7,10,10,2,64,roots,True,False,False,gelu,True,0.005,0.5,normal,0.412745575543875
512,0.7,10,10,5,16,causal,False,False,True,gelu,False,0.03,1.2,normal,0.32560659389173696
